,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.526,0.413,9,-7.674,1,0.0278,0.428,0.0,0.126,0.211,115.936
1,0.663,0.168,0,-13.725,1,0.0448,0.928,5.68e-05,0.361,0.678,85.005
2,0.422,0.878,5,-4.863,1,0.0442,0.00935,0.332,0.201,0.496,84.044
3,0.821,0.676,3,-6.366,0,0.0547,0.187,0.0001,0.0927,0.559,119.012
4,0.388,0.327,5,-12.522,1,0.0317,0.732,0.00103,0.15,0.222,107.894
5,0.296,0.929,9,-3.068,1,0.0751,0.000722,5.83e-06,0.349,0.411,123.709
6,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98
7,0.3,0.929,1,-3.214,1,0.0636,0.000259,2.26e-06,0.329,0.59,147.116
8,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635
9,0.726,0.542,7,-9.523,1,0.03,0.327,0.0,0.146,0.305,120.201
10,0.302,0.692,8,-5.848,1,0.0311,0.000535,0.533,0.153,0.259,158.325
11,0.381,0.732,10,-7.594,0,0.0536,0.00834,0.0101,0.0854,0.814,142.504
12,0.629,0.718,9,-6.557,0,0.035,0.011,0.000211,0.152,0.0611,140.02
13,0.747,0.561,0,-14.553,1,0.204,0.0877,3.02e-05,0.076,0.644,141.034
14,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009
15,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086
16,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444
17,0.621,0.82,10,-4.865,1,0.0367,0.332,0.0,0.104,0.452,144.905
18,0.502,0.239,9,-14.54,0,0.0308,0.436,1.65e-06,0.0966,0.403,93.733
19,0.32,0.311,2,-12.753,1,0.029,0.444,0.000709,0.128,0.434,188.298
20,0.531,0.217,6,-13.883,1,0.0302,0.871,2.59e-06,0.101,0.34,106.842
21,0.459,0.591,6,-6.445,1,0.0296,0.0298,0.0,0.165,0.164,113.324
22,0.53,0.823,2,-4.066,1,0.0321,0.00349,0.0,0.144,0.163,116.975
23,0.503,0.923,6,-2.864,0,0.0412,0.00119,0.000474,0.117,0.515,120.007
24,0.671,0.524,11,-10.407,0,0.0371,0.528,0.0174,0.136,0.455,101.348
25,0.792,0.411,5,-12.384,0,0.033,0.786,0.00212,0.0499,0.41,101.976
26,0.392,0.479,7,-6.786,1,0.028,0.202,0.00533,0.0767,0.259,97.987
27,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
28,0.52,0.933,8,-10.32,1,0.0481,0.176,3.12e-06,0.338,0.795,184.464
29,0.608,0.716,10,-11.232,1,0.0313,0.112,3.49e-05,0.224,0.728,111.993
30,0.797,0.441,11,-14.611,1,0.0304,0.00877,0.00083,0.063,0.829,117.699
31,0.668,0.235,2,-17.567,1,0.0529,0.178,2.19e-05,0.161,0.418,79.942
32,0.558,0.615,1,-5.641,1,0.229,0.0103,0.0,0.105,0.16,76.673
33,0.469,0.212,2,-12.13,0,0.0341,0.652,0.00113,0.104,0.147,144.243
34,0.604,0.489,11,-10.366,0,0.115,0.0959,0.0,0.165,0.306,167.169
35,0.701,0.295,3,-13.138,1,0.0355,0.621,0.0,0.122,0.152,109.165
36,0.498,0.249,4,-11.578,0,0.047,0.596,0.0,0.109,0.182,76.604
37,0.496,0.785,7,-3.472,1,0.306,0.0328,0.0,0.0941,0.357,170.02
38,0.46,0.796,0,-4.501,0,0.0333,0.00107,0.0,0.106,0.182,100.011
39,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647
40,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078
41,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938
42,0.548,0.788,7,-4.115,0,0.0495,0.00905,0.000167,0.0966,0.576,80.047
43,0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992
44,0.344,0.509,5,-6.607,0,0.0722,0.24,0.0,0.083,0.529,76.004
45,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795
46,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989
47,0.558,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.567,151.99
48,0.499,0.776,8,-4.793,1,0.0682,0.0726,0.0,0.281,0.526,173.979
49,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245
50,0.668,0.758,7,-3.589,1,0.158,0.0338,0.0,0.204,0.531,135.958
51,0.522,0.932,11,-2.87,1,0.255,0.119,0.0,0.177,0.33,129.473
52,0.594,0.344,9,-9.602,0,0.0354,0.927,0.0,0.111,0.32,111.735
53,0.599,0.474,6,-6.794,1,0.0379,0.00532,2.84e-06,0.0216,0.649,154.182
54,0.517,0.657,7,-6.324,0,0.0258,0.0661,0.0,0.131,0.253,110.999
55,0.533,0.846,6,-5.593,1,0.0329,0.0369,0.0,0.109,0.604,140.018
56,0.481,0.71,7,-4.785,1,0.0298,0.183,0.0,0.147,0.188,140.062
57,0.589,0.797,1,-4.213,1,0.173,0.000673,0.0,0.0246,0.787,174.039
58,0.464,0.856,3,-4.229,0,0.0315,0.0143,0.0,0.152,0.345,148.188
59,0.46,0.41,9,-7.364,0,0.0365,0.904,7.45e-05,0.104,0.445,90.41
60,0.605,0.92,4,-2.298,0,0.0713,0.0012,0.000596,0.483,0.219,174.974
61,0.571,0.873,0,-3.382,0,0.1,0.0811,0.0,0.361,0.613,139.691
62,0.691,0.946,9,-3.221,1,0.0678,0.0259,0.0,0.0897,0.517,124.021
63,0.766,0.449,7,-13.552,1,0.0415,0.0645,0.00846,0.0434,0.705,115.449
64,0.759,0.849,1,-3.198,0,0.0317,0.000983,1.51e-05,0.0864,0.73,122.033
65,0.581,0.887,4,-3.659,0,0.0624,0.000504,0.00111,0.268,0.724,90.578
66,0.693,0.712,9,-7.43,1,0.032,0.308,0.0,0.106,0.599,139.908
67,0.605,0.609,7,-7.063,1,0.0278,0.188,0.0,0.0982,0.275,119.914
68,0.66,0.611,0,-10.309,1,0.0392,0.423,1.11e-05,0.107,0.749,113.898
69,0.338,0.478,0,-5.895,1,0.0404,0.775,0.0,0.737,0.357,86.862
70,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072
71,0.735,0.555,1,-8.84,0,0.0366,0.382,0.856,0.0952,0.523,100.01
72,0.446,0.432,3,-11.194,1,0.0268,0.302,0.00668,0.17,0.129,79.856
73,0.573,0.762,0,-3.748,1,0.0303,0.0285,0.0,0.061,0.381,89.008
74,0.88,0.413,0,-8.459,1,0.0462,0.586,0.000833,0.0693,0.44,101.991
75,0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049
76,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924
77,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968
78,0.467,0.959,2,-3.336,0,0.0693,0.000427,1.04e-06,0.263,0.646,169.167
79,0.164,0.232,0,-16.512,0,0.0499,0.769,0.00268,0.427,0.0552,77.712
80,0.503,0.378,5,-12.779,1,0.207,0.84,0.0,0.919,0.516,107.311
81,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
82,0.474,0.238,1,-15.595,1,0.0271,0.554,3.95e-06,0.107,0.137,99.005
83,0.515,0.548,5,-6.819,1,0.0622,0.745,0.0,0.698,0.58,132.539
84,0.283,0.349,2,-9.32,1,0.0305,0.362,1.62e-05,0.0932,0.306,130.932
85,0.367,0.181,8,-11.28,1,0.0325,0.92,0.0,0.145,0.365,132.852
86,0.478,0.469,9,-8.282,0,0.0669,0.709,0.0,0.659,0.423,90.977
87,0.776,0.566,0,-7.561,1,0.0739,0.366,0.0,0.451,0.652,139.937
88,0.712,0.562,10,-6.008,1,0.129,0.125,0.0,0.136,0.142,140.0
89,0.64,0.81,4,-10.19,1,0.033,0.031,2.22e-06,0.0492,0.804,122.868
90,0.646,0.892,2,-5.406,1,0.041,3.76e-05,0.00665,0.0915,0.7,130.297
91,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975
92,0.59,0.828,0,-6.28,1,0.0439,0.277,5.57e-06,0.0868,0.636,111.353
93,0.605,0.473,0,-8.718,1,0.0301,0.742,0.0,0.143,0.321,136.043
94,0.599,0.164,0,-23.035,1,0.0475,0.888,0.000612,0.121,0.317,125.388
95,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667
96,0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915
97,0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973
98,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223
99,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93
100,0.496,0.859,5,-7.927,0,0.0934,0.0135,0.065,0.349,0.768,159.694
101,0.334,0.476,7,-8.497,1,0.0308,0.535,0.019,0.278,0.189,147.532
102,0.672,0.841,9,-5.992,0,0.0285,0.0767,0.0,0.135,0.82,125.437
103,0.907,0.766,9,-4.742,0,0.173,0.0813,0.0,0.11,0.875,147.996
104,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009
105,0.696,0.734,7,-5.294,1,0.0298,0.0485,0.0,0.183,0.711,107.987
106,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752
107,0.507,0.327,3,-9.574,1,0.0286,0.183,0.0,0.11,0.627,169.54
108,0.469,0.67,10,-4.604,0,0.027,0.00815,0.0,0.132,0.158,144.045
109,0.642,0.849,1,-5.196,1,0.0554,0.00253,0.0,0.0717,0.703,107.968
110,0.508,0.955,2,-4.603,1,0.143,0.0023,0.0,0.105,0.395,100.665
111,0.632,0.947,1,-4.518,0,0.152,0.00538,0.0,0.121,0.79,109.892
112,0.447,0.716,7,-6.544,1,0.042,0.00189,0.0,0.0889,0.404,156.069
113,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331
114,0.444,0.703,7,-9.443,1,0.0641,0.00112,0.0761,0.127,0.419,106.228
115,0.571,0.801,4,-6.96,0,0.0484,0.692,2.3e-06,0.108,0.859,119.287
116,0.354,0.634,2,-10.975,1,0.202,0.815,3.04e-06,0.108,0.441,82.87
117,0.701,0.434,11,-11.025,1,0.208,0.837,0.0,0.262,0.768,93.586
118,0.494,0.565,1,-9.37,0,0.0417,0.584,2.82e-05,0.0846,0.622,95.997
119,0.479,0.186,9,-7.528,0,0.0302,0.874,0.0,0.114,0.435,71.941
120,0.585,0.941,5,-2.002,1,0.0573,0.00199,0.0,0.508,0.607,135.963
121,0.334,0.472,0,-8.792,1,0.0277,0.6,3.77e-06,0.317,0.431,179.167
122,0.537,0.716,2,-8.766,1,0.038,0.0192,0.0,0.245,0.452,122.873
123,0.325,0.991,3,-5.254,0,0.197,0.0146,0.000134,0.0928,0.147,140.228
124,0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163
125,0.702,0.841,2,-9.837,1,0.045,0.256,0.235,0.0584,0.271,134.919
126,0.598,0.797,7,-6.793,1,0.0332,0.0424,0.000407,0.0717,0.622,123.566
127,0.498,0.515,11,-11.985,0,0.0395,0.0936,0.0,0.1,0.616,127.761
128,0.252,0.971,10,-5.597,0,0.1,0.00295,5.04e-05,0.528,0.305,137.497
129,0.245,0.865,9,-7.159,1,0.172,0.0112,0.0109,0.334,0.547,181.075
130,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755
131,0.575,0.756,2,-9.414,1,0.0544,0.735,0.0401,0.0755,0.844,127.434
132,0.727,0.419,0,-12.273,1,0.0687,0.311,3.43e-06,0.119,0.284,81.04
133,0.7,0.781,6,-8.255,0,0.0507,0.0874,0.00342,0.059,0.385,108.695
134,0.758,0.477,0,-14.741,1,0.138,0.347,0.0,0.122,0.907,119.507
135,0.387,0.665,1,-11.323,0,0.225,0.145,0.00167,0.092,0.541,174.896
136,0.593,0.796,2,-4.771,1,0.0297,0.000125,0.000119,0.161,0.527,125.154
137,0.304,0.978,0,-4.078,1,0.119,0.0202,0.0,0.383,0.365,102.381
138,0.366,0.952,9,-3.363,1,0.0636,0.0156,0.0,0.372,0.577,185.393
139,0.33,0.835,11,-4.522,0,0.0407,0.00452,0.0,0.265,0.85,152.746
140,0.386,0.364,0,-9.624,1,0.032,0.541,0.0,0.347,0.104,81.895
141,0.439,0.891,0,-4.764,1,0.057,0.0122,0.0,0.547,0.695,148.599
142,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594
143,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063
144,0.497,0.136,7,-10.015,1,0.04,0.884,0.000454,0.114,0.236,129.628
145,0.495,0.936,4,-7.196,0,0.0401,0.0111,0.000709,0.276,0.837,107.394
146,0.322,0.377,7,-7.385,0,0.0356,0.454,0.0,0.338,0.366,118.669
147,0.375,0.6,11,-9.313,1,0.033,0.0966,0.000972,0.759,0.916,169.976
148,0.578,0.606,11,-6.402,1,0.0282,0.377,0.0,0.317,0.357,73.912
149,0.435,0.658,8,-8.179,1,0.0661,0.195,0.0,0.102,0.184,130.276
150,0.517,0.535,0,-12.027,1,0.0494,0.131,0.0,0.085,0.933,135.087
151,0.675,0.61,1,-13.811,1,0.085,0.0852,0.0188,0.159,0.344,131.037
152,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798
153,0.519,0.51,0,-8.057,0,0.0352,0.476,0.0,0.292,0.652,144.524
154,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067
155,0.584,0.813,9,-10.997,0,0.0405,0.0192,1.95e-06,0.0875,0.878,149.676
156,0.352,0.643,10,-5.115,1,0.0338,0.239,0.0,0.105,0.292,161.995
157,0.53,0.768,7,-5.611,1,0.0284,0.00385,0.0,0.103,0.374,148.095
158,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961
159,0.599,0.977,1,-3.061,0,0.133,0.0257,0.0,0.0866,0.568,97.985
160,0.579,0.849,4,-5.218,0,0.0303,0.108,0.0,0.0909,0.581,100.021
161,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143
162,0.529,0.967,1,-3.647,0,0.0508,0.114,0.0,0.61,0.596,140.127
163,0.706,0.39,9,-13.673,1,0.0324,0.0221,3.81e-05,0.0944,0.839,90.584
164,0.242,0.303,8,-15.987,1,0.0396,0.972,0.907,0.0949,0.149,76.866
165,0.923,0.518,5,-6.008,1,0.0492,0.52,0.000142,0.104,0.682,93.023
166,0.717,0.733,4,-4.985,1,0.0427,0.0398,0.0,0.136,0.713,119.996
167,0.292,0.912,3,-2.077,1,0.0561,0.00259,0.0,0.0853,0.475,79.298
168,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776
169,0.697,0.467,9,-7.536,1,0.0715,0.248,0.0,0.0941,0.572,82.081
170,0.481,0.88,4,-1.108,1,0.176,0.00305,0.642,0.13,0.961,156.859
171,0.642,0.796,2,-7.981,1,0.0305,0.0804,0.000293,0.169,0.689,136.095
172,0.438,0.979,9,-3.82,0,0.0403,0.0167,0.0408,0.3,0.513,142.912
173,0.597,0.96,11,-3.989,1,0.042,0.169,2.89e-05,0.105,0.937,163.017
174,0.59,0.828,9,-5.422,1,0.0448,0.0553,0.000307,0.109,0.903,134.936
175,0.393,0.241,7,-13.209,1,0.0346,0.677,0.0,0.108,0.119,125.599
176,0.371,0.224,7,-13.502,1,0.0299,0.711,0.0,0.242,0.149,130.027
177,0.446,0.0382,1,-21.358,1,0.0426,0.823,0.0,0.0979,0.107,121.98
178,0.391,0.912,6,-8.624,1,0.133,0.524,0.000315,0.35,0.701,193.782
179,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
180,0.764,0.948,1,-4.355,0,0.0402,0.00929,0.0773,0.416,0.911,129.967
181,0.397,0.381,3,-8.553,1,0.0294,0.835,0.0,0.0829,0.423,148.649
182,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002
183,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95
184,0.253,0.574,0,-12.488,1,0.0314,1.22e-05,0.651,0.0466,0.171,82.061
185,0.82,0.427,10,-12.728,0,0.0827,0.459,0.0494,0.0447,0.887,121.481
186,0.575,0.555,9,-12.528,0,0.0465,0.356,0.00149,0.154,0.616,115.003
187,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008
188,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
189,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999
190,0.607,0.878,4,-4.422,1,0.0665,0.000246,0.0,0.337,0.853,119.955
191,0.543,0.485,8,-6.85,1,0.0305,0.558,0.0,0.12,0.371,136.961
192,0.583,0.637,0,-6.464,1,0.0459,0.00722,0.0419,0.177,0.315,80.004
193,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867
194,0.526,0.509,7,-10.893,1,0.0628,0.6,0.0,0.144,0.497,138.318
195,0.456,0.933,0,-5.212,1,0.153,0.375,0.0,0.563,0.367,125.051
196,0.463,0.484,10,-13.259,1,0.0395,0.456,0.0,0.125,0.513,77.521
197,0.594,0.561,5,-11.666,1,0.0603,0.524,0.00222,0.0724,0.617,140.286
198,0.607,0.462,5,-10.004,0,0.0287,0.614,8.42e-06,0.0724,0.346,75.752
199,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714
200,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571
201,0.578,0.492,0,-12.713,1,0.0296,0.0096,9.11e-05,0.256,0.202,126.823
202,0.567,0.945,9,-7.243,1,0.0458,0.175,2.6e-06,0.35,0.961,150.792
203,0.519,0.875,0,-6.488,1,0.132,0.223,0.0,0.0915,0.766,152.092
204,0.611,0.912,0,-6.775,1,0.0398,0.105,0.0,0.117,0.77,101.307
205,0.637,0.333,3,-9.603,1,0.0262,0.181,0.0,0.147,0.588,84.347
206,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024
207,0.514,0.681,7,-10.026,1,0.065,0.199,0.0356,0.0745,0.913,136.821
208,0.725,0.838,5,-9.063,1,0.0355,0.18,2.36e-06,0.112,0.746,131.478
209,0.822,0.87,9,-6.257,1,0.0592,0.124,0.0,0.045,0.901,109.174
210,0.504,0.797,10,-4.305,1,0.0493,0.000105,0.148,0.0393,0.654,97.547
211,0.493,0.636,1,-7.408,1,0.0256,0.0629,2.49e-06,0.0921,0.279,79.419
212,0.789,0.494,4,-9.496,0,0.0324,0.407,0.808,0.226,0.781,120.025
213,0.638,0.336,2,-7.52,1,0.0248,0.759,0.0,0.0728,0.567,78.86
214,0.488,0.88,9,-5.158,1,0.045,0.000121,0.000783,0.103,0.389,148.051
215,0.553,0.874,2,-3.685,0,0.0401,0.00388,0.00184,0.104,0.319,127.961
216,0.42,0.377,6,-7.203,0,0.0264,0.339,0.000123,0.166,0.0969,103.989
217,0.369,0.433,7,-6.67,0,0.0331,0.04,0.000517,0.109,0.069,119.984
218,0.424,0.944,4,-6.031,0,0.0576,9.82e-06,0.065,0.345,0.502,158.997
219,0.563,0.869,9,-8.163,1,0.052,0.0235,1.14e-05,0.2,0.716,140.587
220,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
221,0.587,0.924,7,-2.918,1,0.041,0.000133,0.0,0.285,0.746,113.998
222,0.937,0.654,8,-11.187,1,0.322,0.00533,1.26e-06,0.0542,0.607,128.462
223,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018
224,0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044
225,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972
226,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001
227,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938
228,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897
229,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998
230,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016
231,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017
232,0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008
233,0.47,0.431,5,-6.129,0,0.0342,0.329,0.0,0.0854,0.289,157.98
234,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905
235,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
236,0.769,0.505,1,-7.345,1,0.0829,0.311,7.49e-05,0.0777,0.757,171.804
237,0.662,0.716,10,-7.575,0,0.16,0.028,0.0,0.0727,0.548,167.947
238,0.598,0.488,6,-10.905,1,0.0307,0.741,0.779,0.0945,0.396,144.977
239,0.707,0.538,0,-5.264,1,0.505,0.362,0.0,0.317,0.439,121.732
240,0.69,0.834,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43
241,0.738,0.852,7,-6.13,1,0.0766,0.00153,0.0895,0.178,0.834,119.735
242,0.366,0.598,5,-8.272,1,0.0425,0.434,0.0,0.124,0.552,135.597
243,0.487,0.81,4,-4.067,0,0.0357,0.000754,0.0,0.352,0.702,123.493
244,0.653,0.631,9,-11.334,1,0.0461,0.299,0.00265,0.0627,0.516,156.32
245,0.728,0.921,5,-3.302,1,0.0323,0.05,7.92e-06,0.137,0.936,124.143
246,0.486,0.918,11,-4.181,0,0.125,0.0121,0.00372,0.0697,0.734,164.038
247,0.676,0.577,10,-12.031,1,0.0365,0.186,0.0,0.148,0.934,91.98
248,0.673,0.629,2,-7.072,1,0.0299,0.00141,0.0,0.0944,0.551,103.998
249,0.477,0.415,10,-10.592,1,0.0313,0.754,0.00356,0.104,0.418,87.907
250,0.7,0.864,7,-3.629,1,0.0283,0.0212,0.0,0.0956,0.887,102.997
251,0.621,0.246,0,-11.162,1,0.0598,0.81,1.21e-05,0.133,0.452,75.093
252,0.642,0.875,6,-3.14,1,0.042,0.0233,0.0,0.19,0.556,124.946
253,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722
254,0.663,0.72,3,-5.497,1,0.0331,0.00212,0.0,0.358,0.608,135.342
255,0.663,0.776,6,-8.111,1,0.0417,0.0155,0.292,0.0885,0.444,124.731
256,0.263,0.871,2,-7.496,1,0.131,0.106,0.0,0.363,0.622,206.68
257,0.677,0.985,1,-4.678,1,0.0549,0.07,3.62e-05,0.351,0.87,118.092
258,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653
259,0.488,0.481,6,-9.514,0,0.0397,0.769,3.33e-06,0.877,0.556,155.507
260,0.797,0.782,1,-5.69,0,0.103,0.0013,0.00155,0.0491,0.377,121.019
261,0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019
262,0.641,0.63,8,-6.393,1,0.0521,0.0372,0.0,0.4,0.415,79.955
263,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883
264,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992
265,0.616,0.455,6,-5.946,1,0.045,0.886,0.0,0.134,0.762,126.049
266,0.56,0.653,0,-6.282,1,0.0468,0.413,1.19e-06,0.0971,0.655,182.37
267,0.44,0.901,9,-4.733,1,0.0598,0.0531,0.000361,0.927,0.519,202.389
268,0.772,0.526,0,-8.723,1,0.0701,0.649,2.88e-06,0.125,0.566,124.071
269,0.555,0.835,0,-4.712,0,0.0408,0.0329,2.34e-05,0.0937,0.476,98.007
270,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085
271,0.213,0.634,4,-12.967,0,0.0596,0.369,0.00199,0.359,0.354,174.443
